nome,cpf,idade,data,endereco,estado
Clara Martins,397.201.856-86,77,14/03/1947,"rodovia aragão, 245
conjunto lagoa
61224-422 pinto / mg",BAHIA
Dr. Luiz Felipe Cardoso,374.691.850-20,69,20/07/1954,"alameda de lima, 65
boa esperança
49621639 fernandes de moraes / pe",AMAPÁ
Sr. Calebe Lopes,135.796.802-77,62,19/10/1961,"trecho lucas sales, 24
dom bosco
09228582 da cunha alegre / ro",CEARÁ
Miguel Monteiro,097.521.834-41,54,27/06/1969,"passarela igor novaes, 89
pompéia
32670-098 martins / se",ACRE
Srta. Catarina Da Mata,468.751.390-57,81,05/07/1942,"sítio luna carvalho, 98
novo santa cecilia
32066-338 nunes / am",ACRE
João Gabriel Araújo,625.904.731-25,73,13/09/1950,"esplanada de castro, 4
vila nova cachoeirinha 1ª seção
69704-913 pires / mt",RORAIMA
Sr. Nicolas Azevedo,036.458.921-33,35,18/01/1989,"estrada de aragão, 1
vila barragem santa lúcia
49120-746 campos / ac",RIO DE JANEIRO
Kamilly Caldeira,508.379.462-47,44,04/07/1979,"via gabriela nascimento
madre gertrudes
45044395 nascimento do galho / ap",MATO GROSSO DO SUL
Renan Araújo,186.970.354-57,79,06/03/1945,"travessa vinicius da mata, 52
alta tensão 1ª seção
66380-981 dias do campo / ce",SÃO PAULO
Vicente Nascimento,054.921.378-32,63,22/02/1961,"largo vieira
milionario
78970057 dias / df",CEARÁ
Isaac Rocha,873.402.691-69,57,30/11/1966,"área lucas gabriel silveira, 51
anchieta
55284-530 rocha / pe",RIO DE JANEIRO
Julia Das Neves,819.402.563-05,60,28/08/1963,"jardim isabelly gomes, 23
nossa senhora de fátima
81186-838 da luz da serra / es",PARANÁ
Breno Rodrigues,196.540.732-34,95,24/10/1928,"distrito de silveira
dona clara
14225405 araújo / am",MARANHÃO
Isabel Nogueira,968.502.347-65,63,21/10/1960,"travessa ana júlia da rocha
miramar
01287083 fogaça do oeste / to",PIAUÍ
Anthony Araújo,208.157.463-26,38,07/09/1985,"avenida milena pires, 360
vila rica
71412995 pereira / ap",TOCANTINS
Sra. Marina Da Cunha,067.152.389-95,55,09/09/1968,"rodovia marcelo souza, 25
estrela
24438186 vieira / rn",AMAZONAS
Helena Cardoso,853.471.906-39,51,29/05/1972,"pátio alexandre teixeira, 243
indaiá
21474228 cavalcanti paulista / rr",PARANÁ
Luigi Nunes,593.204.186-24,50,17/06/1973,"via clara da rosa, 928
castelo
87117-636 caldeira de campos / rr",RORAIMA
Srta. Raquel Da Costa,278.534.619-09,58,07/05/1965,"estação ribeiro, 46
venda nova
45512787 silva / pb",AMAZONAS
Sra. Ana Vitória Oliveira,120.347.586-17,60,01/11/1963,"sítio de cavalcanti, 97
juliana
21342254 monteiro de campos / pa",SANTA CATARINA
Luiza Campos,974.281.306-03,52,13/01/1972,"condomínio de rodrigues, 52
conjunto providencia
93625-248 da luz / sc",TOCANTINS
Lucca Da Paz,526.980.731-95,71,14/04/1952,"rodovia vieira, 63
conjunto taquaril
85325522 pires / rn",TOCANTINS
Nathan Da Rosa,907.231.564-25,31,05/11/1992,"recanto de da conceição, 1
paraíso
52583-232 sales / am",CEARÁ
Lívia Silveira,804.125.796-85,61,22/11/1962,"setor de azevedo, 375
castanheira
56381800 teixeira das pedras / al",MATO GROSSO DO SUL
Isabel Cavalcanti,492.768.130-04,54,10/05/1969,"ladeira pietra cunha, 13
vista alegre
86652477 monteiro / pa",PARÁ
Rafael Nunes,285.917.604-76,38,28/08/1985,"vereda davi lucca barbosa, 35
estrela do oriente
38759-767 rodrigues de goiás / go",GOIÁS
Elisa Fogaça,572.840.693-92,95,13/12/1928,"rodovia ana júlia araújo, 68
vila real 2ª seção
22775-108 da mata dos dourados / pe",MARANHÃO
Agatha Ramos,948.061.752-85,23,03/12/2000,"distrito de barros, 41
suzana
54500-129 da rocha / rj",RORAIMA
Kamilly Rocha,946.031.875-48,59,19/09/1964,"feira campos, 17
cruzeiro
01967-483 ribeiro de pires / df",CEARÁ
Antônio Das Neves,435.698.712-82,40,31/07/1983,"avenida vitor hugo cardoso, 34
vila são rafael
96831280 da cunha / sc",RIO GRANDE DO SUL
Luiz Gustavo Alves,198.506.473-10,45,08/07/1978,"rodovia de souza, 63
vila nova dos milionarios
81275-813 rocha / ms",RIO GRANDE DO SUL
Emanuella Fernandes,097.184.263-96,87,21/07/1936,"residencial ian da paz, 6
padre eustáquio
41928916 fernandes de correia / pr",RONDÔNIA
Srta. Ana Beatriz Farias,431.975.068-39,62,07/08/1961,"ladeira de da paz, 98
jardim dos comerciarios
48285699 ribeiro / pe",ACRE
Yago Monteiro,865.279.143-00,44,22/06/1979,"ladeira pereira, 21
buraco quente
50425764 fogaça verde / ba",MARANHÃO
Yasmin Gonçalves,017.459.382-14,76,26/09/1947,"área barros, 46
salgado filho
98637-706 alves de goiás / ba",PARANÁ
Bruna Nascimento,132.695.407-52,34,13/04/1989,"vereda luiz felipe costa, 70
minaslandia
23088133 moraes / df",RORAIMA
Davi Luiz Nogueira,873.045.912-50,97,20/12/1926,"vila sales, 97
paquetá
59231544 da luz grande / es",PERNAMBUCO
Ian Monteiro,324.157.968-91,24,11/12/1999,"favela alana ribeiro, 318
casa branca
79179-607 barros da praia / ms",CEARÁ
Srta. Helena Silva,905.164.728-01,35,14/11/1988,"parque freitas, 82
ouro minas
59029142 lima da prata / ac",TOCANTINS
Bárbara Novaes,038.496.512-15,88,24/05/1935,"trecho bryan da cunha, 1
betânia
61163162 correia verde / pa",AMAZONAS
Sr. Pedro Lucas Costela,534.870.296-00,30,24/08/1993,"esplanada moreira
pindura saia
93675777 da cunha da mata / es",MINAS GERAIS
Rafael Jesus,673.105.482-80,22,16/08/2001,"campo de barros, 16
silveira
43534-126 duarte do galho / df",CEARÁ
Sra. Alícia Caldeira,051.382.694-70,89,04/12/1934,"distrito esther campos, 264
apolonia
13908-226 souza / pa",TOCANTINS
Danilo Martins,760.389.541-39,99,30/03/1925,"largo pires, 78
bacurau
13125523 sales verde / ap",PIAUÍ
Sr. Gabriel Da Rosa,530.641.782-53,49,10/09/1974,"campo isabelly freitas
novo santa cecilia
94562211 da mata / ce",ACRE
Augusto Teixeira,412.563.970-16,69,15/11/1954,"favela maria novaes
savassi
60241424 da costa das flores / rr",RIO GRANDE DO SUL
Ana Julia Da Rosa,630.549.782-65,42,10/10/1981,"trevo moraes, 5
cônego pinheiro 1ª seção
38769-503 ramos de rocha / sp",RIO GRANDE DO SUL
Lucca Barbosa,836.109.275-77,97,12/06/1926,"rua mendes, 337
penha
06179-472 sales do sul / sp",MINAS GERAIS
Amanda Da Costa,268.935.074-29,23,20/11/2000,"lagoa cardoso, 1
ambrosina
61793-758 da rocha / sp",MATO GROSSO
Dr. Francisco Cardoso,430.297.815-50,96,30/10/1927,"lago maitê campos, 31
braúnas
72279-259 costa do sul / to",PARANÁ
Lorena Farias,268.517.934-82,92,17/04/1931,"residencial barbosa, 44
zilah sposito
26601655 aragão de goiás / ap",RIO GRANDE DO SUL
Anthony Da Costa,935.287.104-97,36,13/02/1988,"recanto de rocha, 68
conjunto califórnia i
12467-132 jesus do norte / se",SANTA CATARINA
Cauã Rodrigues,107.286.439-87,98,11/02/1926,"vale gustavo henrique alves, 50
vila madre gertrudes 4ª seção
75200-837 correia grande / al",MATO GROSSO DO SUL
Anthony Barbosa,631.750.489-00,86,19/08/1937,"vila farias
vila satélite
80983484 gonçalves de fogaça / rn",ALAGOAS
Ana Julia Almeida,179.386.425-09,22,20/07/2001,"fazenda de porto, 3
senhor dos passos
60244655 mendes / ma",MATO GROSSO
Milena Barros,314.602.985-51,73,04/08/1950,"setor miguel pires, 3
ermelinda
63141374 pires / pa",RIO GRANDE DO NORTE
Murilo Gomes,759.083.641-93,99,22/05/1924,"morro de castro
vila pilar
68132710 vieira do sul / sp",CEARÁ
Daniel Barbosa,812.035.469-98,28,05/10/1995,"praça ferreira, 764
vila sumaré
04459429 teixeira da serra / ce",DISTRITO FEDERAL
Dr. Samuel Cardoso,039.124.687-96,47,20/03/1977,"vereda cauê novaes, 14
conjunto califórnia ii
17511624 caldeira / ba",DISTRITO FEDERAL
Ana Laura Sales,863.247.190-22,78,24/11/1945,"fazenda de pinto, 42
são jorge 1ª seção
94419954 correia de mendes / pr",RONDÔNIA
Mariana Cunha,492.537.016-25,81,24/07/1942,"loteamento luiz felipe teixeira, 87
novo ouro preto
09824175 araújo / am",RORAIMA
Sr. João Guilherme Cavalcanti,347.156.029-70,38,30/09/1985,"quadra emanuella da conceição, 29
cruzeiro
48756-294 fogaça de correia / ms",RIO GRANDE DO NORTE
Kamilly Rocha,365.248.907-10,63,29/10/1960,"rodovia danilo costa, 17
alta tensão 2ª seção
93173-991 almeida do oeste / ms",PIAUÍ
Gabriel Nunes,940.813.762-04,55,21/11/1968,"vila stephany lima
vista do sol
43271006 costa / pa",AMAZONAS
Rafael Correia,579.042.183-05,72,03/01/1952,"morro de cardoso, 47
marçola
82157940 melo / se",PIAUÍ
Ana Lívia Barbosa,925.164.380-60,62,30/05/1961,"lagoa sarah azevedo
monsenhor messias
68691-716 nunes / ce",PARÁ
Maitê Teixeira,694.815.037-39,90,11/05/1933,"loteamento oliveira, 29
camponesa 1ª seção
35499227 da rosa do oeste / pe",RIO GRANDE DO SUL
Carlos Eduardo Santos,937.815.426-37,69,29/03/1955,"largo nascimento, 97
delta
00090-218 barbosa / pr",RONDÔNIA
Enzo Gabriel Araújo,349.682.017-96,70,15/09/1953,não informado,RIO GRANDE DO SUL
Breno Moreira,184.762.950-49,40,23/03/1984,"aeroporto de das neves, 7
vila sumaré
05152-623 correia das flores / al",PARANÁ
Julia Lopes,106.893.247-31,47,13/02/1977,"conjunto de cardoso, 5
vila minaslandia
42663-889 castro / pr",RORAIMA
André Lima,645.098.123-70,79,06/11/1944,"viaduto cardoso
belmonte
18780-365 monteiro do campo / ro",ALAGOAS
João Gabriel Barbosa,190.657.428-67,55,23/02/1969,"fazenda de barros
boa esperança
74227859 da costa / df",AMAPÁ
não informado,438.765.902-56,21,13/04/2002,"colônia maria vitória moura
aarão reis
87984-967 rocha de minas / go",CEARÁ
João Felipe Oliveira,830.679.415-00,42,18/10/1981,"avenida de cardoso
madre gertrudes
39614351 porto do amparo / rn",DISTRITO FEDERAL
Samuel Vieira,218.305.764-53,39,02/07/1984,"lagoa leandro caldeira, 1
chácara leonina
51972-241 mendes / mt",RORAIMA
Lucca Ferreira,237.984.561-19,86,30/03/1938,"esplanada de das neves, 5
andiroba
55857-900 moraes do amparo / mg",PERNAMBUCO
Samuel Castro,582.630.419-70,70,04/02/1954,"praia eloah da mata, 95
cachoeirinha
76620-467 melo / al",AMAZONAS
Enzo Gabriel Mendes,não informado,56,29/12/1967,"recanto de santos, 155
jardim alvorada
06498-281 pinto / pa",MINAS GERAIS
Maria Vitória Teixeira,426.753.091-25,61,16/12/1962,"praia carvalho, 7
vila nova
08272068 costela / pa",MATO GROSSO DO SUL
Maria Fernanda Farias,907.143.856-20,22,18/07/2001,"área de correia, 44
chácara leonina
16210070 nunes do sul / am",RIO GRANDE DO NORTE
Fernanda Sales,879.354.102-32,71,05/02/1953,"vale lorenzo almeida, 80
vila mantiqueira
39381-620 alves grande / pe",RIO GRANDE DO SUL
Srta. Eduarda Nogueira,602.751.493-07,66,13/01/1958,"chácara isadora das neves
vila da amizade
25121623 ribeiro / pb",RONDÔNIA
Maitê Ferreira,016.542.973-99,65,24/04/1958,"estação cunha
calafate
29389355 rocha de gonçalves / pr",SANTA CATARINA
Catarina Pires,079.186.425-11,47,28/01/1977,"loteamento de lima, 1
vila primeiro de maio
16602-243 vieira da mata / mt",MATO GROSSO DO SUL
Manuela Da Rocha,839.561.470-57,74,21/05/1949,"alameda de gonçalves, 79
saudade
47129-674 dias / sp",PARAÍBA
Nina Moura,604.173.592-25,46,23/07/1977,"quadra bernardo ferreira, 85
marieta 1ª seção
48882-146 lima de barbosa / pa",ACRE
Pedro Henrique Vieira,526.839.107-03,42,14/08/1981,"rodovia alícia dias, 58
vila boa vista
14088-768 campos de porto / rr",PARANÁ
Ana Clara Cunha,862.953.107-02,36,09/04/1987,"rua de cavalcanti, 8
vila da paz
01240048 souza da serra / ac",ESPÍRITO SANTO
Pietra Santos,508.672.194-67,94,14/06/1929,"esplanada de silva, 1
vila puc
06033-930 alves de lopes / go",SANTA CATARINA
Sr. Theo Da Conceição,284.517.309-14,25,04/10/1998,"viaduto de freitas, 12
centro
41526-260 da cruz dos dourados / rr",SÃO PAULO
Vinicius Da Costa,023.916.457-16,65,03/06/1958,"recanto valentina pinto, 52
satelite
97787-119 mendes de barbosa / pa",SÃO PAULO
Pedro Henrique Cunha,519.304.678-93,58,03/06/1965,"passarela de santos, 501
vila atila de paiva
81047029 oliveira / es",PARÁ
Davi Nogueira,564.829.170-11,74,14/12/1949,"morro lucca da rocha, 40
bandeirantes
05301527 nascimento / ce",TOCANTINS
Luiz Fernando Da Paz,409.816.257-11,80,30/04/1943,"praça de da paz, 5
conjunto jardim filadélfia
17691-504 cavalcanti / to",MATO GROSSO
Srta. Letícia Rocha,137.580.942-32,76,01/12/1947,"fazenda joão felipe souza, 78
nova pampulha
08184872 cunha / sc",SERGIPE
João Nogueira,367.189.054-10,91,22/02/1933,"rodovia cauê monteiro, 50
heliopolis
61521177 martins paulista / ce",RIO GRANDE DO NORTE
João Gabriel Cardoso,962.405.713-34,53,13/07/1970,"área de ferreira, 20
vila independencia 2ª seção
75695006 melo / ac",MINAS GERAIS
Ryan Ribeiro,409.157.683-48,95,18/12/1928,"núcleo almeida, 41
vila são paulo
63386-457 novaes / pb",ALAGOAS
Olivia Das Neves,314.927.586-55,23,27/01/2001,"lagoa de vieira, 25
paquetá
66090560 pereira do campo / al",RORAIMA
Sr. Luiz Miguel Pinto,942.816.507-76,55,17/04/1968,"conjunto da luz, 6
chácara leonina
95186702 silva / sc",SÃO PAULO
Elisa Teixeira,217.439.856-73,79,07/05/1944,"ladeira de rodrigues, 58
vila são francisco
18153-240 da mata / es",RONDÔNIA
Pedro Miguel Das Neves,523.976.081-03,59,15/12/1964,"jardim de nascimento, 7
engenho nogueira
72911-524 moreira do galho / rs",RIO DE JANEIRO
Maria Luiza Azevedo,064.253.879-47,76,29/04/1947,"quadra de da cruz, 42
vila jardim montanhes
11782275 mendes / pe",SERGIPE
Lorenzo Silva,642.397.018-13,47,09/05/1976,"conjunto de da cruz, 1
mariano de abreu
82687-160 azevedo de silva / rj",AMAZONAS
Bianca Souza,673.295.108-40,97,25/05/1926,"colônia francisco campos, 7
vila betânia
47223-561 da costa do galho / sc",BAHIA
Vitor Azevedo,643.978.150-20,70,01/11/1953,"largo de barbosa
vila nova gameleira 1ª seção
37778-485 lima / al",RORAIMA
Enzo Gabriel Lima,187.604.952-94,57,28/01/1967,"aeroporto rezende
santo antônio
22751419 melo de porto / sp",SANTA CATARINA
Eduarda Cunha,093.821.745-32,59,17/09/1964,"campo de pinto, 72
santana do cafezal
22684962 porto / pi",SÃO PAULO
Sra. Nicole Da Rocha,367.082.149-03,79,10/10/1944,"setor de ferreira, 742
vila antena
59176-949 santos / rr",AMAZONAS
Ana Clara Santos,430.629.781-04,35,15/04/1988,"ladeira de sales, 15
vila são francisco
18447153 das neves / df",PARAÍBA
Enzo Gabriel Castro,694.253.078-65,96,11/07/1927,"ladeira de teixeira
são geraldo
49881-890 rodrigues / pb",PIAUÍ
Nicole Ferreira,701.839.246-22,28,11/02/1996,"aeroporto duarte, 9
funcionários
49849669 silva do sul / es",AMAZONAS
Erick Sales,498.357.160-48,37,13/09/1986,"trecho de martins, 51
vila santa monica 1ª seção
87398-775 nogueira alegre / pr",CEARÁ
Anthony Barros,742.053.618-07,42,24/10/1981,"vila alexia viana, 87
jardim alvorada
22732-445 moreira / pa",RORAIMA
Renan Da Rocha,986.204.357-10,53,08/03/1971,"morro melo, 463
grajaú
18981-145 da conceição / ro",TOCANTINS
Marcela Santos,843.196.205-42,24,23/12/1999,"residencial de aragão, 65
planalto
81955-681 barbosa do sul / rn",GOIÁS
Carolina Melo,970.358.142-05,39,06/06/1984,"vereda kamilly da rosa, 80
são geraldo
58360617 castro / sc",AMAPÁ
Lavínia Rezende,946.321.085-70,44,19/08/1979,"morro davi luiz correia, 38
vila são paulo
55361364 ferreira do galho / ce",RONDÔNIA
Srta. Julia Porto,502.731.649-61,75,21/07/1948,"distrito ana laura aragão, 90
jardim do vale
37050371 barbosa / ma",AMAZONAS
Alana Cardoso,572.934.018-41,32,14/04/1991,"favela gonçalves, 32
cônego pinheiro 1ª seção
62579-612 da costa alegre / pr",RIO GRANDE DO NORTE
Davi Lucas Cardoso,805.769.423-83,28,15/11/1995,"viela da paz, 92
serra
95443238 correia / mt",SÃO PAULO
Raul Santos,315.809.267-03,19,11/09/2004,"loteamento emanuelly sales, 135
leticia
56249-362 fernandes de peixoto / sp",ALAGOAS
Igor Melo,261.730.548-17,46,03/02/1978,"favela oliveira, 67
vila copacabana
91636157 rezende / pr",TOCANTINS
Joaquim Da Costa,274.039.856-56,76,10/08/1947,"condomínio campos, 38
dom bosco
49718775 melo de minas / sp",AMAPÁ
João Felipe Farias,936.457.180-01,28,11/01/1996,"estação milena silva, 549
bairro das indústrias ii
77860945 silva / pe",MATO GROSSO
Manuela Almeida,647.251.980-30,75,27/01/1949,"feira alice ramos, 3
são joão batista
84904729 campos paulista / pe",ACRE
Ryan Rocha,248.513.096-51,64,25/10/1959,"passarela nogueira, 8
castelo
08422194 pires de barros / pi",não informado
Luna Da Conceição,935.416.278-91,96,19/02/1928,"campo campos, 82
são pedro
10003961 da mata / ma",MATO GROSSO DO SUL
Manuela Silva,591.372.846-73,18,01/09/2005,"jardim beatriz farias, 11
acaba mundo
79947-311 farias / al",BAHIA
Maria Vitória Das Neves,761.450.932-34,96,05/01/1928,"lagoa cavalcanti
savassi
46594-913 ribeiro do norte / pe",MINAS GERAIS
Marcela Cunha,904.312.587-32,45,17/06/1978,"rua sales, 4
universo
73420661 rodrigues das pedras / se",PERNAMBUCO
Bryan Souza,593.410.876-00,66,05/03/1958,"viaduto thales costela, 23
mala e cuia
14364-941 farias / ba",MARANHÃO
Kevin Cavalcanti,658.107.349-01,48,29/01/1976,"distrito maria moraes, 9
vila paris
34507-199 cardoso / pr",SERGIPE
Sr. João Gabriel Martins,794.682.051-85,74,14/06/1949,"esplanada de moura, 95
boa viagem
73036474 pereira do oeste / ma",MATO GROSSO
Gabriela Da Mata,746.021.835-90,67,16/06/1956,"viaduto de peixoto, 16
inconfidência
10719-934 da cruz / ce",RORAIMA
Srta. Júlia Fernandes,650.429.831-98,48,19/11/1975,"condomínio leandro da mota, 20
jatobá
87409412 cavalcanti da mata / to",DISTRITO FEDERAL
Bárbara Silveira,386.019.472-04,40,25/12/1983,"trevo carvalho
vila paraíso
27781889 vieira de castro / rn",RIO DE JANEIRO
Vinicius Jesus,549.723.618-91,89,08/12/1934,"morro de duarte
pindorama
91232749 cunha / rs",MINAS GERAIS
Srta. Alice Pires,536.287.940-56,41,08/07/1982,"praia ana carolina correia, 11
santa sofia
12204735 rocha alegre / ro",CEARÁ
Lara Ferreira,698.517.304-75,72,23/10/1951,"rodovia de fogaça, 96
lajedo
51730-878 cardoso do galho / rs",DISTRITO FEDERAL
Felipe Freitas,863.410.759-01,98,27/04/1925,"rua duarte, 85
vila real 1ª seção
03399083 costa do sul / ac",DISTRITO FEDERAL
Maysa Pires,852.607.149-11,68,08/10/1955,"sítio mariana almeida, 86
carlos prates
09579-357 cavalcanti / pr",BAHIA
Letícia Da Mata,308.742.169-31,47,04/08/1976,"aeroporto da paz, 54
vila são dimas
26750-505 costa / pr",RIO DE JANEIRO
Luigi Cunha,623.457.109-34,92,24/01/1932,"praia nascimento, 541
senhor dos passos
52251-024 cavalcanti do campo / pa",não informado
Lucas Gabriel Gomes,120.476.398-40,20,23/02/2004,"distrito de cardoso, 24
flamengo
42222117 jesus da prata / pi",PERNAMBUCO
Emanuelly Costela,152.490.783-97,46,21/10/1977,"vale de vieira, 67
suzana
02233962 alves / pa",RORAIMA
Calebe Nascimento,631.974.802-87,85,25/02/1939,"trecho brenda ferreira, 25
lagoinha
22650-581 da luz / rj",BAHIA
Juan Pires,139.648.572-46,76,12/03/1948,"avenida de santos, 89
são pedro
54483394 moraes da mata / ms",GOIÁS
Lívia Costa,582.793.041-50,81,18/10/1942,"loteamento oliveira, 12
vila da ária
56184582 pires / am",RIO GRANDE DO NORTE
Davi Lucas Nunes,679.802.341-03,21,07/01/2003,"vila viana, 68
nova cintra
01930898 porto / am",PIAUÍ
Dr. Lucca Oliveira,806.759.431-75,89,24/06/1934,"passarela jesus, 34
vila jardim montanhes
90668-539 azevedo / pb",RIO DE JANEIRO
Eduardo Monteiro,037.529.468-65,61,09/11/1962,"viaduto caldeira
vila nova paraíso
26625-312 oliveira do galho / pe",CEARÁ
Diogo Moraes,571.463.209-52,47,12/01/1977,"sítio aragão, 73
aguas claras
39221-650 barros / rj",MARANHÃO
Felipe Freitas,657.014.938-57,18,08/12/2005,"área gabriela nascimento
ermelinda
91481282 silveira / rr",GOIÁS
Ryan Peixoto,830.126.594-98,27,25/08/1996,"estrada agatha correia, 79
xodo-marize
53021-431 azevedo alegre / to",PARÁ
Otávio Pires,526.170.894-01,25,16/07/1998,"pátio ribeiro, 33
vila oeste
74852-896 barros da mata / ms",RONDÔNIA
Thiago Moreira,023.671.984-03,61,11/01/1963,"residencial rebeca da paz, 43
santa inês
11614338 lima do sul / sc",RIO GRANDE DO SUL
Pietro Lopes,428.657.913-19,61,24/04/1962,"aeroporto moura, 81
salgado filho
80405-323 moura do galho / sp",PARAÍBA
Gabriela Gomes,317.820.469-50,42,13/04/1981,"parque mariane araújo, 1
flamengo
01839098 aragão / ro",PIAUÍ
João Miguel Viana,183.527.069-77,23,27/05/2000,"estrada de carvalho, 309
funcionários
12346-410 da luz / df",não informado
Sr. Luiz Henrique Nunes,031.879.256-77,76,17/03/1948,"via da cunha, 11
sport club
89823119 costela da mata / to",TOCANTINS
Srta. Ana Sophia Viana,937.802.651-68,29,18/02/1995,"rodovia agatha cavalcanti, 27
santo antônio
57644125 ribeiro / ap",PARÁ
Sr. Marcelo Aragão,418.379.602-40,85,06/04/1938,"praça raul pires
maria virgínia
04343-264 cunha / to",PIAUÍ
Enzo Gabriel Da Mota,018.326.459-24,30,22/09/1993,"vila farias
braúnas
89867214 nogueira do sul / se",MINAS GERAIS
Benjamin Da Rosa,195.728.306-86,99,29/07/1924,"núcleo maria luiza novaes, 100
xangri-lá
43844226 moura da prata / rj",PARANÁ
Ana Rezende,316.749.285-64,68,15/10/1955,"esplanada de da cruz, 73
eymard
71825-419 nascimento / pe",RIO GRANDE DO NORTE
Dr. Thomas Dias,267.984.310-03,45,13/01/1979,"jardim ana carolina da mota, 6
vila petropolis
53256-274 moura / ap",PARAÍBA
Breno Ribeiro,803.946.721-78,38,05/10/1985,"vereda de costela, 27
vila de sá
07317531 freitas / mg",MATO GROSSO
Lucas Gabriel Novaes,856.074.129-11,41,04/09/1982,"trevo manuela jesus, 927
ipe
96781793 carvalho / sc",CEARÁ
Vicente Rodrigues,328.147.905-79,85,18/12/1938,"chácara cardoso, 14
vila aeroporto
82122066 fogaça / rn",RONDÔNIA
João Lucas Vieira,985.724.301-05,38,18/10/1985,"praça de oliveira, 35
conjunto santa maria
00397-858 barros dos dourados / rn",MARANHÃO
Dr. Luiz Henrique Freitas,951.720.438-88,47,07/11/1976,"residencial luigi duarte, 6
manacas
80721305 aragão / sc",PARÁ
Dra. Luiza Da Conceição,189.032.564-33,96,29/04/1927,"núcleo de ferreira, 77
lagoa
66120668 freitas do norte / pr",CEARÁ
Benjamin Cavalcanti,317.024.958-41,26,30/11/1997,"área de fernandes, 37
vila são dimas
93804-699 pereira / mt",CEARÁ
Murilo Mendes,653.748.201-17,77,20/04/1946,"loteamento porto, 4
vila santo antônio
40994-158 jesus / se",SERGIPE
Dr. Renan Rezende,609.342.875-38,65,16/12/1958,"área de ribeiro, 688
vila vista alegre
53424631 viana / pr",SANTA CATARINA
Maysa Porto,081.395.764-84,68,11/09/1955,"pátio carlos eduardo azevedo, 76
havaí
05920919 cardoso do norte / ro",BAHIA
Pedro Lucas Pereira,873.421.560-35,84,09/01/1940,"quadra almeida, 83
paquetá
47111-767 ferreira / ce",SANTA CATARINA
Isadora Nogueira,480.321.579-05,50,09/01/1974,"feira almeida, 72
vila são dimas
54779-178 nogueira da mata / rj",RIO DE JANEIRO
Gabriel Ramos,591.874.320-05,76,23/08/1947,"viaduto de freitas, 46
novo glória
68461-422 da mata do campo / to",MATO GROSSO
Yago Ferreira,531.842.796-00,87,30/05/1936,"ladeira agatha almeida, 27
vila copacabana
72789380 santos de cardoso / rs",ACRE
Samuel Da Mata,521.740.968-11,21,30/11/2002,"residencial cavalcanti, 50
grota
42720-953 costela / mg",PARANÁ
Sophie Pinto,317.480.529-50,94,19/07/1929,"colônia bryan costela, 404
suzana
19834-441 rocha / se",SANTA CATARINA
Dr. Rafael Souza,436.750.218-07,45,03/02/1979,"rodovia de moreira, 6
santo agostinho
88797976 melo de rodrigues / am",AMAZONAS
Vitor Hugo Lima,450.326.187-80,85,30/07/1938,"esplanada oliveira, 654
serra
05893442 barros grande / pr",RORAIMA
