nome,cpf,idade,data,endereco,estado,pais,salario,nivel_educacao,numero_filhos,estado_civil,anos_experiencia,area_atuacao
André Santos,569.087.123-03,39,08/12/1984,"Via de da Luz, 34
Conjunto Califórnia Ii
87565897 Nascimento / MT",Rio Grande do Sul,Brasil,11956.86,Ensino Superior,1,Divorciado,13,Saúde
Joana Ferreira,207.384.196-13,27,08/11/1996,"Área de Melo, 45
Jardim Guanabara
07586-725 Vieira Verde / SP",São Paulo,Brasil,4741.55,Ensino Fundamental,2,Casado,5,Tecnologia
Milena Gonçalves,467.125.083-71,28,04/08/1995,"Passarela de Gomes, 26
Taquaril
35937-010 Silva do Sul / PI",Santa Catarina,Brasil,5750.38,Ensino Médio,1,Casado,1,Tecnologia
Rafael da Cunha,104.752.693-06,22,26/07/2001,"Jardim Vitor Hugo Vieira, 586
Havaí
56124881 Farias Alegre / GO",Distrito Federal,Brasil,3302.26,Ensino Médio,1,Solteiro,2,Indústria
Vitor Hugo Dias,481.927.350-79,31,10/04/1993,"Passarela Caio Campos, 43
Barro Preto
42284-477 Nogueira / MA",Pernambuco,Brasil,6801.59,Ensino Médio,1,Casado,8,Saúde
Marcelo Caldeira,439.508.162-24,41,13/09/1982,"Vila de Araújo, 498
Primeiro De Maio
05369199 Santos do Norte / PE",Amapá,Brasil,,Ensino Superior,0,Casado,13,Indústria
Vitor Gabriel Cunha,082.914.765-94,46,14/07/1977,"Chácara Alves, 8
Vila São Francisco
53758-045 Porto do Oeste / AC",Distrito Federal,Brasil,3452.93,Ensino Fundamental,1,Divorciado,24,Saúde
Maria das Neves,054.621.798-20,62,30/06/1961,"Vale Bryan Pinto
Mariano De Abreu
86403249 Ramos / PE",São Paulo,Brasil,7316.91,Ensino Superior,2,Solteiro,8,Indústria
Sr. João Guilherme Rezende,645.807.291-02,23,11/08/2000,"Passarela de Teixeira, 3
Conjunto Minas Caixa
20814446 Farias do Oeste / PI",Paraíba,Brasil,3076.23,Ensino Médio,0,Casado,5,Indústria
Letícia Gonçalves,620.384.795-00,39,17/02/1985,"Distrito Catarina Barbosa, 562
Castelo
91362-932 Almeida do Sul / PR",Paraná,Brasil,,Ensino Médio,0,Casado,12,Comércio
Nicole Ferreira,583.601.947-93,25,08/11/1998,"Lago Thiago Aragão, 54
Céu Azul
14208587 Caldeira / RO",Goiás,Brasil,3268.8,Ensino Médio,0,Solteiro,6,Educação
Srta. Luna Oliveira,073.865.142-71,49,19/10/1974,"Recanto Noah Rezende, 24
Vila Puc
63658-091 Souza / PI",Bahia,Brasil,10181.14,Ensino Superior,1,Casado,23,Comércio
Benício da Rocha,394.625.710-07,61,10/11/1962,"Lago Daniel Campos
Havaí
56785-724 Rodrigues do Galho / SE",Alagoas,Brasil,9928.59,Ensino Médio,0,Casado,33,Indústria
Mariane da Mata,718.243.695-73,59,05/04/1965,"Aeroporto Porto, 4
Vila Bandeirantes
21106038 Rodrigues de Melo / GO",Pernambuco,Brasil,9808.35,Ensino Superior,4,Casado,35,Educação
Luiz Miguel da Mata,301.859.472-04,50,28/09/1973,"Área Oliveira, 504
Aeroporto
83431630 Dias / RN",Sergipe,Brasil,5225.2,Ensino Médio,1,Casado,16,Comércio
Ana da Conceição,581.270.349-32,22,02/10/2001,"Favela Ryan Moraes, 44
União
19402-181 Oliveira da Mata / BA",Sergipe,Brasil,3645.0,Ensino Superior,1,Casado,0,Educação
Matheus Pereira,613.450.872-17,85,10/04/1939,"Rodovia Beatriz Costa, 34
Jardim Alvorada
16398-038 Ramos / AC",Distrito Federal,Brasil,2387.19,Ensino Fundamental,0,Casado,36,Tecnologia
Camila Ramos,506.247.398-56,46,22/02/1978,"Vereda de Nunes, 21
Venda Nova
05729-057 Barros / AM",Alagoas,Brasil,7664.25,Ensino Médio,1,Casado,3,Tecnologia
Isadora Pinto,529.630.714-34,26,02/01/1998,"Chácara Emanuella Farias, 29
Lagoa
02676-852 Ferreira das Pedras / MT",,Brasil,5179.8,Ensino Superior,0,Casado,0,Indústria
Agatha Cardoso,068.352.741-07,55,29/05/1968,"Colônia Nunes, 363
Nova Pampulha
64002-271 Jesus / SE",Amazonas,Brasil,3649.5,Ensino Médio,0,Casado,11,Comércio
Pietra Rocha,457.032.896-29,55,21/07/1968,"Quadra Lima, 92
Custodinha
82512-058 da Rocha da Mata / PE",Amazonas,Brasil,4405.56,Ensino Médio,2,Casado,35,Educação
Letícia Ferreira,071.295.846-02,42,23/07/1981,"Largo Bruno Farias, 27
Santana Do Cafezal
09115624 Nunes do Galho / RO",Piauí,Brasil,4501.08,Ensino Médio,0,Casado,8,Saúde
Pedro Miguel Cunha,763.825.410-44,21,18/07/2002,"Passarela João Guilherme Costa, 26
São Bento
08177-207 Gonçalves Verde / PI",Amazonas,Brasil,2386.33,Ensino Fundamental,0,Viúvo,3,Educação
Erick Duarte,495.238.071-88,18,04/06/2005,"Sítio Martins, 791
Liberdade
28298-953 Monteiro / MT",Mato Grosso do Sul,Brasil,3485.57,Ensino Fundamental,1,Casado,0,Tecnologia
Yasmin Vieira,406.915.283-06,28,23/01/1996,"Lagoa de Santos
Conjunto Santa Maria
99655-619 Gomes da Mata / ES",Roraima,Brasil,3441.77,Ensino Médio,0,Solteiro,3,Saúde
Raquel Fogaça,148.526.370-08,83,17/10/1940,"Travessa Vitória Castro, 6
Gameleira
76844798 Nunes / AC",Goiás,Brasil,3432.61,Ensino Médio,1,Casado,2,Indústria
Maitê Oliveira,758.912.036-77,34,24/09/1989,"Colônia da Mota, 7
Aguas Claras
50036602 Fogaça Paulista / MA",Mato Grosso,Brasil,,Ensino Superior,1,Solteiro,15,Comércio
Felipe da Costa,476.318.209-96,65,30/07/1958,"Viaduto de Gomes, 35
Vila Sesc
88706-700 Fogaça / SE",Maranhão,Brasil,7609.68,Ensino Fundamental,3,Casado,28,Indústria
Ana Júlia da Mata,356.809.124-06,23,04/12/2000,"Favela Azevedo, 56
Vila Nova Dos Milionarios
73260137 Novaes / RO",Rondônia,Brasil,3468.81,Ensino Fundamental,1,Divorciado,0,Tecnologia
Elisa Cunha,078.214.536-17,78,12/10/1945,"Núcleo Kevin Fogaça, 61
Jardim Alvorada
35573-600 Ferreira / DF",Espírito Santo,Brasil,5986.45,Ensino Médio,1,Solteiro,35,Comércio
Esther da Mata,541.398.027-23,22,25/09/2001,"Núcleo Luiz Gustavo Novaes, 549
Cidade Jardim
20170-619 da Cruz / AP",Rio Grande do Sul,Brasil,5093.49,Ensino Médio,2,Solteiro,2,Indústria
Alexia Jesus,945.027.386-38,39,03/06/1984,"Praia Arthur Ribeiro, 6
Monte Azul
76998863 Almeida / RO",Paraná,Brasil,3446.2,Ensino Médio,0,Casado,15,Indústria
Maria Fernanda Castro,465.130.892-98,54,18/06/1969,"Viaduto de da Rocha
Belvedere
75072641 Costela / SP",Pará,Brasil,8094.16,Ensino Médio,4,Solteiro,8,Tecnologia
Henrique Rodrigues,215.903.478-97,28,11/07/1995,"Feira de Freitas, 82
Cônego Pinheiro 1ª Seção
91538600 Silva de da Paz / RN",Amazonas,Brasil,5517.69,Ensino Médio,3,Casado,5,Indústria
Ana Lívia Porto,859.261.407-49,24,22/12/1999,"Esplanada Laís da Conceição, 733
Liberdade
53575-467 Jesus / PB",Bahia,Brasil,3057.43,Ensino Fundamental,1,Solteiro,6,Indústria
Thales das Neves,106.924.857-67,49,26/04/1974,"Rodovia da Cunha, 87
Vila Formosa
06433-760 Cardoso do Oeste / AC",Goiás,Brasil,4611.62,Ensino Médio,0,Casado,14,Comércio
Luiz Otávio Costela,637.518.420-71,30,11/12/1993,"Lagoa de Lima, 33
São Vicente
44425-416 Teixeira de Goiás / RS",Rio Grande do Sul,Brasil,6082.64,Ensino Médio,3,Solteiro,4,Indústria
Pedro Lucas Cavalcanti,130.287.569-86,47,19/03/1977,"Residencial Igor Barbosa, 9
Novo Das Industrias
57070206 Novaes de Costela / TO",Distrito Federal,Brasil,19730.97,Ensino Superior,2,Casado,28,Tecnologia
Cecília Moraes,064.387.259-00,56,12/09/1967,"Aeroporto de Porto, 37
Vila Olhos D'água
89035599 Rocha / CE",Amazonas,Brasil,4895.37,Ensino Médio,0,Casado,0,Tecnologia
João Pedro Dias,270.689.354-00,22,18/02/2002,"Alameda Rezende, 132
Havaí
54477412 Castro / CE",Amazonas,Brasil,4746.11,Ensino Médio,1,Solteiro,3,Educação
João Felipe Pereira,970.138.246-31,22,17/08/2001,"Via Maria Vitória Silva, 1
Aparecida 7ª Seção
81034789 Azevedo / AL",Espírito Santo,Brasil,9137.8,Ensino Superior,0,Solteiro,0,Indústria
Luiz Gustavo Santos,854.627.931-46,18,28/12/2005,"Condomínio de Barbosa
Vila Madre Gertrudes 4ª Seção
60083-956 Alves / MS",Pernambuco,Brasil,2788.97,Ensino Médio,1,Casado,0,Comércio
Benjamin da Paz,159.824.703-41,28,04/09/1995,"Sítio Cauã da Cruz
Dom Silverio
62584-914 Costela do Campo / BA",Espírito Santo,Brasil,,Ensino Médio,3,Solteiro,3,Educação
Cauê da Mata,172.395.804-23,19,22/09/2004,"Largo de Cardoso, 777
Beira Linha
69006462 das Neves / MT",São Paulo,Brasil,2936.85,Ensino Médio,3,Casado,1,Indústria
Nicole Lima,271.506.348-26,55,14/03/1969,"Morro João Vitor Costela
Camponesa 1ª Seção
65664-940 Sales / TO",,Brasil,4804.29,Ensino Fundamental,0,Casado,12,Comércio
Julia Pinto,761.982.350-68,21,07/01/2003,"Recanto Isabella Caldeira, 241
Vila Madre Gertrudes 3ª Seção
19965-788 Fogaça Alegre / MG",Roraima,Brasil,2892.95,Ensino Fundamental,1,Casado,3,Educação
Sra. Isis Novaes,639.207.581-02,59,26/10/1964,"Viela de Azevedo, 65
Vila Satélite
37814578 Ribeiro / MG",Pará,Brasil,17026.17,Ensino Superior,0,Casado,39,Tecnologia
Srta. Natália da Rocha,053.978.162-21,22,10/11/2001,"Feira Ana Laura da Costa, 842
Taquaril
47166382 Rezende / MS",Goiás,Brasil,5185.59,Ensino Médio,2,Solteiro,3,Comércio
Julia Rodrigues,389.457.061-00,57,03/04/1967,"Trecho Maria Cecília Souza, 2
São Jorge 2ª Seção
79028836 Gomes / PR",Rondônia,Brasil,4204.97,Ensino Médio,3,Divorciado,21,Educação
Eduardo Aragão,654.701.298-02,53,29/09/1970,"Viaduto Freitas, 58
Copacabana
06482-168 Ferreira / SC",Bahia,Brasil,8967.94,Ensino Médio,1,Casado,13,Comércio
Enzo Gabriel da Mata,809.476.513-57,23,25/01/2001,"Recanto de Oliveira, 20
Vila Madre Gertrudes 4ª Seção
71684-218 Lima do Sul / PA",Pernambuco,Brasil,8801.98,Ensino Superior,0,Casado,3,Tecnologia
Emanuelly Mendes,231.784.605-35,88,04/12/1935,"Travessa de Pires, 834
Vila Nossa Senhora Do Rosário
63145269 Cardoso do Amparo / PA",Amazonas,Brasil,2813.73,Ensino Fundamental,2,Solteiro,27,Saúde
Luna da Mota,947.503.681-48,25,10/08/1998,"Quadra Barbosa, 87
Buraco Quente
58384045 Moura / MG",Distrito Federal,Brasil,4038.33,Ensino Médio,1,Casado,1,Comércio
Olivia Moraes,056.839.241-89,88,17/03/1936,"Conjunto de Costa, 948
Maravilha
13250-179 Carvalho Grande / AP",Goiás,Brasil,4843.84,Ensino Superior,0,Solteiro,12,Tecnologia
Ana Julia da Costa,480.617.592-76,18,14/02/2006,"Praia Gomes, 851
Mangueiras
72370779 das Neves / SP",Acre,Brasil,7335.02,Ensino Médio,0,Casado,0,Tecnologia
Stella da Rosa,826.910.574-02,24,24/07/1999,"Loteamento Maria Luiza Gomes, 70
Madre Gertrudes
19010517 Caldeira / PA",Maranhão,Brasil,5096.93,Ensino Médio,0,Solteiro,0,Educação
Maria Cecília Nogueira,495.823.710-05,65,03/06/1958,"Estação Nogueira, 40
Boa Vista
84460-945 Dias Alegre / RR",Paraíba,Brasil,13917.07,Ensino Médio,0,Viúvo,32,Indústria
Camila Cunha,170.659.483-66,18,24/03/2006,"Viela Silveira
Lajedo
72423-966 Porto / RO",Distrito Federal,Brasil,6734.71,Pós-graduação,2,Casado,0,Educação
Isabel Cardoso,568.314.907-00,19,12/01/2005,"Viela Eloah Moura, 60
Bonfim
99971159 Moura do Sul / SP",Sergipe,Brasil,8549.4,Pós-graduação,4,Casado,0,Indústria
Mariane Fernandes,826.973.045-92,85,04/01/1939,"Residencial Pires, 27
Marmiteiros
84975963 Almeida / PI",Santa Catarina,Brasil,13081.43,Ensino Médio,2,Casado,49,Indústria
Catarina Santos,026.459.137-25,59,07/11/1964,"Jardim Ramos, 9
Nova Cintra
82742993 Farias de Dias / MG",São Paulo,Brasil,12474.65,Ensino Superior,0,Casado,16,Educação
Laís Aragão,084.716.925-11,34,01/07/1989,"Morro de Mendes, 715
Apolonia
24203-413 Araújo / BA",Piauí,Brasil,7565.66,Pós-graduação,2,Solteiro,1,Tecnologia
Dr. Fernando Peixoto,659.823.140-05,37,23/09/1986,"Setor de Carvalho, 20
Granja Werneck
23424686 Cardoso / RN",Goiás,Brasil,10279.89,Ensino Médio,0,Casado,10,Tecnologia
Ana Júlia Cardoso,182.643.579-46,33,01/12/1990,"Distrito Emilly Melo, 91
Graça
11166505 Novaes / CE",Sergipe,Brasil,10491.23,Ensino Superior,0,Casado,9,Tecnologia
Heloísa Peixoto,492.873.560-92,39,11/02/1985,"Trecho de Melo, 58
Vila Santa Rosa
66856625 Alves / AC",Amapá,Brasil,,Ensino Fundamental,0,Casado,21,Indústria
Letícia Novaes,217.835.046-17,59,01/08/1964,"Lago de Moura, 518
Vila Independencia 2ª Seção
02983688 da Paz / GO",Alagoas,Brasil,,,2,,6,
Vinicius Costa,289.615.734-46,61,11/12/1962,"Travessa Araújo, 51
Nova Esperança
03884065 Campos do Campo / RJ",Minas Gerais,Brasil,4189.37,Ensino Médio,0,Solteiro,7,Educação
Breno Alves,208.317.956-03,30,05/03/1994,"Estrada de Novaes
Acaba Mundo
88025764 Farias Verde / AC",Amazonas,Brasil,4253.02,Ensino Superior,0,Casado,6,Comércio
Mariane das Neves,079.184.653-93,19,13/03/2005,"Morro Enzo Gabriel Gonçalves
Marieta 1ª Seção
05678-927 Barbosa do Oeste / PA",São Paulo,Brasil,3472.01,Ensino Médio,4,Casado,0,Saúde
Valentina Oliveira,827.501.963-02,27,26/07/1996,"Feira de Campos, 44
Sion
38651328 Peixoto / AC",São Paulo,Brasil,5043.59,Ensino Médio,5,Solteiro,5,Tecnologia
Henrique Peixoto,089.731.462-03,18,29/11/2005,"Área Vitor Gabriel Carvalho, 4
Itatiaia
13882676 Peixoto da Mata / MG",Minas Gerais,Brasil,3367.36,,0,,0,
Breno Moraes,032.495.178-79,53,14/02/1971,"Vila Eduarda Carvalho, 444
Vila Petropolis
21732848 Melo de Ramos / PA",Pernambuco,Brasil,16878.91,Pós-graduação,2,Casado,14,Educação
Dr. Lucas Gabriel Carvalho,638.425.179-55,45,24/12/1978,"Favela de Carvalho, 45
São Francisco
69956507 Mendes / ES",Roraima,Brasil,9106.5,Ensino Médio,0,Solteiro,21,Saúde
Maria Ferreira,524.638.710-08,40,17/12/1983,"Favela de Martins, 433
Beija Flor
85455559 das Neves / PE",Distrito Federal,Brasil,6051.48,Ensino Fundamental,3,Solteiro,22,Tecnologia
Gabriel Viana,740.163.829-04,43,06/04/1981,"Lago Calebe Freitas
Santa Inês
56225-290 Cardoso / ES",Rondônia,Brasil,6732.19,Ensino Médio,0,Casado,12,Comércio
Elisa Mendes,472.169.305-25,27,17/10/1996,"Morro Juliana Porto, 20
Nova Cachoeirinha
80855004 Farias / CE",Minas Gerais,Brasil,2975.55,Ensino Médio,0,Divorciado,3,Indústria
Dra. Laura Fernandes,723.516.089-68,45,02/08/1978,"Via Oliveira, 508
Santa Cruz
91678-973 da Rosa dos Dourados / RS",Paraíba,Brasil,11210.57,Ensino Superior,1,Solteiro,25,Comércio
Isabelly Novaes,925.104.768-58,22,10/12/2001,"Vereda Araújo, 33
Embaúbas
15168-391 Azevedo / MA",Mato Grosso,Brasil,4559.16,Ensino Superior,0,Casado,2,Educação
Lorenzo da Luz,147.269.305-16,39,22/05/1984,"Via Freitas
Vila São Paulo
87173-593 Costela / PB",Amapá,Brasil,4054.92,Ensino Fundamental,0,Solteiro,5,Comércio
Maria Julia Moura,859.172.306-68,55,28/01/1969,"Campo Emilly Melo, 10
Olaria
69886-683 Jesus Verde / PA",Tocantins,Brasil,12509.8,Pós-graduação,1,Casado,19,Saúde
João Lucas Jesus,143.759.802-14,59,12/08/1964,"Via Peixoto
Penha
80521-244 Carvalho / RJ",Acre,Brasil,3654.98,Ensino Fundamental,1,Divorciado,12,Comércio
Olivia Aragão,763.195.280-95,49,10/01/1975,"Conjunto de Martins, 80
Custodinha
43429-714 Silva do Sul / PR",Rio de Janeiro,Brasil,8611.1,Ensino Superior,0,Casado,13,Saúde
Maysa Pires,032.458.796-10,63,07/11/1960,"Fazenda Pereira, 22
Nossa Senhora Do Rosário
23732278 Gomes Verde / SP",Rio Grande do Sul,Brasil,6666.87,Ensino Médio,2,Casado,43,Comércio
Maria Clara Ferreira,536.870.941-20,19,04/02/2005,"Área Jesus
Marajó
19758074 Costa de da Rocha / PE",Pernambuco,Brasil,1593.65,Ensino Fundamental,1,Solteiro,0,Educação
Lucas Fogaça,048.135.267-80,44,20/06/1979,"Ladeira de Melo, 35
São Marcos
54226264 Viana / RO",Ceará,Brasil,7107.12,,0,,6,
Srta. Maria Alice Pereira,530.879.124-41,20,12/10/2003,"Loteamento de da Rocha, 24
São Francisco
74588541 Peixoto / RO",Rio Grande do Sul,Brasil,5069.23,Ensino Médio,0,Solteiro,1,Saúde
Sra. Olivia Pires,638.510.724-80,56,25/10/1967,"Aeroporto Ribeiro, 8
Virgínia
84651-537 Nogueira / PR",Pernambuco,Brasil,11820.72,Ensino Superior,1,Divorciado,24,Saúde
Igor da Costa,309.824.651-06,53,25/02/1971,"Passarela de Moura, 41
Nova Esperança
69314-625 Oliveira / ES",Pernambuco,Brasil,14303.7,Ensino Superior,2,Viúvo,6,Tecnologia
Sra. Lorena da Rocha,968.245.170-11,61,05/04/1963,"Estrada de Pereira, 41
Concórdia
45770-486 Santos Alegre / BA",Rondônia,Brasil,4946.28,Ensino Médio,0,Solteiro,8,Comércio
Brenda Monteiro,365.174.908-84,54,30/09/1969,"Colônia Lucca Campos, 67
Boa Esperança
42778-114 Duarte das Flores / TO",Roraima,Brasil,5003.55,Ensino Médio,1,Divorciado,28,Educação
Pedro Cavalcanti,703.892.561-02,85,02/12/1938,"Passarela de Aragão, 23
Antonio Ribeiro De Abreu 1ª Seção
89928141 Teixeira / PR",,Brasil,2173.77,Ensino Médio,1,Divorciado,3,Saúde
Lívia Moreira,054.376.128-26,43,04/10/1980,"Vereda Almeida, 8
Cdi Jatoba
20676309 Carvalho / MA",Rondônia,Brasil,5648.23,Ensino Médio,3,Casado,5,Saúde
Luiz Henrique Castro,024.785.139-60,18,05/01/2006,"Núcleo Ramos, 28
Vila Da Ária
36026-797 Silva / RJ",Espírito Santo,Brasil,6662.12,Ensino Superior,0,Solteiro,0,Educação
Anthony Ribeiro,507.318.269-30,52,22/06/1971,"Chácara Pinto, 1
Centro
42640258 Pires / SP",Mato Grosso do Sul,Brasil,7833.93,Ensino Médio,1,Casado,28,Indústria
Calebe Duarte,741.265.809-30,79,24/09/1944,"Residencial Emanuelly Cavalcanti, 34
Barro Preto
07085-949 Peixoto / PB",Santa Catarina,Brasil,2999.89,Ensino Fundamental,0,Casado,28,Indústria
Ana Julia Jesus,795.241.036-99,42,14/05/1981,"Praça Silveira, 443
São Benedito
94163-679 Vieira / AM",Bahia,Brasil,7863.54,Ensino Superior,4,Casado,0,Tecnologia
Julia Porto,780.194.263-96,31,29/11/1992,"Loteamento de Barbosa
Juliana
00195-795 Almeida do Norte / PI",Espírito Santo,Brasil,2540.53,Ensino Fundamental,0,Divorciado,11,Indústria
Augusto Mendes,206.351.497-61,29,28/09/1994,"Rodovia Santos, 384
Vila Rica
16371-103 Vieira / BA",Pernambuco,Brasil,7379.92,,3,,0,
Thomas Melo,847.236.501-80,33,28/03/1991,"Núcleo Eduardo Ferreira, 54
Vila Nova Gameleira 3ª Seção
46094494 Santos de Ribeiro / DF",Maranhão,Brasil,6179.44,Ensino Médio,1,Casado,12,Saúde
Nina Rezende,415.629.380-70,64,09/08/1959,"Avenida Vieira, 60
Cidade Jardim Taquaril
71484-748 Porto de Melo / ES",Mato Grosso,Brasil,7677.11,Ensino Fundamental,0,Solteiro,34,Indústria
Emilly da Costa,164.830.759-01,22,11/01/2002,"Residencial de Lopes, 93
Lorena
28409-020 da Rocha / RS",Bahia,Brasil,5261.29,Ensino Médio,2,Casado,2,Educação
Pedro Cardoso,643.751.289-09,63,12/02/1961,"Estrada Fernandes, 67
Conjunto Providencia
56170069 Dias da Serra / RJ",Goiás,Brasil,4388.63,Ensino Fundamental,0,Solteiro,12,Tecnologia
Sr. Lucas Gabriel Teixeira,967.538.210-40,25,24/09/1998,"Setor Rezende, 90
Pirineus
95314-409 da Conceição / PR",Rio Grande do Sul,Brasil,7653.98,Ensino Médio,1,Casado,5,Saúde
Lucas Pinto,296.703.518-12,54,29/06/1969,"Travessa da Paz, 5
Horto Florestal
30808318 Ribeiro / PB",Acre,Brasil,3615.51,Ensino Médio,0,Solteiro,1,Tecnologia
Emanuella Moreira,720.619.583-03,27,04/05/1996,"Jardim Castro, 24
Havaí
68750233 Castro / SC",Rio Grande do Norte,Brasil,6736.01,Ensino Médio,3,Casado,2,Indústria
Valentina Santos,304.918.762-03,48,09/12/1975,"Rua de Vieira, 53
Aarão Reis
85654-665 Caldeira / MA",Ceará,Brasil,8778.35,Ensino Médio,0,Casado,20,Comércio
Igor Campos,310.845.679-20,29,23/09/1994,"Chácara de Rezende
Flamengo
47627951 Fogaça / AL",Bahia,Brasil,5750.17,Ensino Superior,0,Solteiro,9,Comércio
Srta. Isabella Porto,401.786.235-71,77,13/05/1946,"Vereda João Miguel Cardoso, 332
São Geraldo
87252-650 Moreira Verde / AM",Tocantins,Brasil,12245.98,Ensino Médio,0,Solteiro,55,Saúde
Maria Sophia Mendes,078.216.534-62,25,26/07/1998,"Chácara Bruna da Cunha, 1
Jatobá
25521-682 Moura / DF",Sergipe,Brasil,,Ensino Médio,2,Divorciado,7,Comércio
Bryan Sales,276.190.584-94,47,15/06/1976,"Vale Gabriela Azevedo, 71
Leonina
19193439 da Mata / AP",Rondônia,Brasil,7152.08,Ensino Médio,1,Casado,7,Indústria
Luiz Gustavo da Cunha,753.961.824-82,47,26/02/1977,"Chácara Souza, 74
Jaqueline
22929-835 Gonçalves de Nascimento / PE",Rio Grande do Norte,Brasil,5305.75,Ensino Superior,1,Casado,14,Indústria
Sr. Bryan Castro,701.695.328-95,43,10/06/1980,"Viela Calebe da Rosa, 90
Vila São Geraldo
95229-719 Souza / MG",Distrito Federal,Brasil,4721.31,Ensino Médio,1,Casado,16,Educação
Leonardo Azevedo,635.921.784-82,31,07/02/1993,"Residencial de Carvalho, 79
Vera Cruz
71516-888 Moraes / PR",Acre,Brasil,6056.4,Ensino Médio,0,Casado,12,Comércio
Emanuel Carvalho,456.823.701-71,18,26/07/2005,"Conjunto Silva, 25
Sagrada Família
33578420 Alves do Oeste / DF",Amazonas,Brasil,2386.9,Ensino Fundamental,1,Casado,0,Educação
Isaac Nascimento,682.319.450-24,31,19/10/1992,"Pátio Francisco Pinto, 84
Carmo
81323-994 Carvalho / RO",Tocantins,Brasil,,Ensino Médio,3,Casado,8,Educação
Felipe Monteiro,732.498.516-55,20,09/11/2003,"Condomínio Maria Alice Freitas, 1
Vila Petropolis
99296481 Rocha / SP",Santa Catarina,Brasil,1700.15,Ensino Fundamental,2,Casado,1,Comércio
André Oliveira,183.740.956-01,36,27/09/1987,"Lago Cardoso
Venda Nova
53865-561 Campos do Sul / MS",Paraná,Brasil,3861.92,Ensino Fundamental,0,Casado,1,Comércio
Helena Costela,038.219.654-60,47,24/10/1976,"Condomínio de Silveira, 81
Vila São Geraldo
93045899 Pinto / RO",Amazonas,Brasil,6081.45,Ensino Médio,0,Casado,15,Saúde
Maria Luiza Costela,045.738.629-00,30,26/09/1993,"Estação Lucas Gabriel Costa
Vila Madre Gertrudes 3ª Seção
45784-262 da Conceição da Praia / RR",Amapá,Brasil,5101.38,Ensino Superior,0,Casado,8,Saúde
Alexandre Vieira,471.935.068-20,29,18/12/1994,"Pátio Lucas Gabriel da Rosa, 41
Anchieta
52303-098 Cavalcanti de Goiás / AL",Ceará,Brasil,2443.38,Ensino Médio,0,Casado,0,Comércio
